Source;Target;Reciprocated?;ID;Label
Twitelina;PetRuot;Yes;3;Followed
PetRuot;markkuhuusko;No;4;Followed
PetRuot;markojunkkari;No;5;Followed
PetRuot;AppelsinUlla;No;6;Followed
PetRuot;KaiusNiemi;No;7;Followed
PetRuot;PerttuKauppinen;No;8;Followed
PetRuot;JussiPullinen;No;9;Followed
PetRuot;Twitelina;Yes;10;Followed
PetRuot;HolopainenMinna;No;11;Followed
PetRuot;reijoruokanen;No;12;Followed
PetRuot;Petri2020;No;13;Followed
JLahteenmaa;MiraMkel2;No;14;Followed
JLahteenmaa;markojunkkari;No;15;Followed
KaiusNiemi;JLahteenmaa;No;16;Followed
afBjorkesten;lenaskogberg;Yes;17;Followed
RiittaMonto;lenaskogberg;Yes;18;Followed
HolopainenMinna;lenaskogberg;Yes;19;Followed
RVenalainen;lenaskogberg;Yes;20;Followed
lenaskogberg;afBjorkesten;Yes;21;Followed
lenaskogberg;HolopainenMinna;Yes;22;Followed
lenaskogberg;CamillaBerggre2;Yes;23;Followed
lenaskogberg;merjaya;No;24;Followed
lenaskogberg;markojunkkari;No;25;Followed
lenaskogberg;AppelsinUlla;No;26;Followed
lenaskogberg;RVenalainen;Yes;27;Followed
lenaskogberg;RiittaMonto;Yes;28;Followed
lenaskogberg;attesakari;No;29;Followed
lenaskogberg;KaiusNiemi;No;30;Followed
lenaskogberg;TimoHaapala;No;31;Followed
lenaskogberg;EYlajarvi;No;32;Followed
CamillaBerggre2;lenaskogberg;Yes;33;Followed
ErkkiSummanen;InkeriPasanen;Yes;34;Followed
afBjorkesten;InkeriPasanen;No;35;Followed
PekkaMervola;InkeriPasanen;Yes;36;Followed
HolopainenMinna;InkeriPasanen;Yes;37;Followed
InkeriPasanen;PekkaMervola;Yes;38;Followed
InkeriPasanen;ErkkiSummanen;Yes;39;Followed
InkeriPasanen;HolopainenMinna;Yes;40;Followed
afBjorkesten;CamillaBerggre2;Yes;41;Followed
RiittaMonto;CamillaBerggre2;No;42;Followed
HolopainenMinna;CamillaBerggre2;Yes;43;Followed
CamillaBerggre2;afBjorkesten;Yes;44;Followed
CamillaBerggre2;HolopainenMinna;Yes;45;Followed
CamillaBerggre2;MikaPettersson;Yes;46;Followed
MikaPettersson;CamillaBerggre2;Yes;47;Followed
NadiaRebekka;heguli2;No;48;Followed
JennyJnnri;KaiusNiemi;No;49;Followed
JennyJnnri;RVenalainen;No;50;Followed
ErkkiSummanen;KeijoLehto;No;51;Followed
Twitelina;KeijoLehto;No;52;Followed
vpk63;KeijoLehto;Yes;53;Followed
HolopainenMinna;KeijoLehto;Yes;54;Followed
KeijoLehto;PekkaMervola;No;55;Followed
KeijoLehto;EYlajarvi;No;56;Followed
KeijoLehto;HolopainenMinna;Yes;57;Followed
KeijoLehto;MikaPettersson;No;58;Followed
KeijoLehto;vpk63;Yes;59;Followed
JussiPullinen;jarzuli;No;60;Followed
MVirtanen;jarzuli;No;61;Followed
JussiEronen;jarzuli;No;62;Followed
Hannele_V;jarzuli;No;63;Followed
karvonenko;jarzuli;No;64;Followed
KaiusNiemi;jarzuli;No;65;Followed
Ruokanen;jarzuli;No;66;Followed
HolopainenMinna;jarzuli;No;67;Followed
jaakkolyytinen;jarzuli;No;68;Followed
anteromukka;jarzuli;No;69;Followed
PerttuKauppinen;jarzuli;No;70;Followed
RVenalainen;jarzuli;No;71;Followed
