Id;Label;Corporation;Media Brand;Gender;Image File;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;Followed;Followers;Tweets;Favorites;Description;Location;Web;Joined Twitter Date (UTC);Custom Menu Item Action
kuistiala;Anu Kuistiala;Mtv3;Mtv3;1;http://pbs.twimg.com/profile_images/378800000198442342/cc9021f0633a0863de3095c19c91beb5_normal.jpeg;45;30;66,651;0,008;1,533;0,512;0,563;629;2907;5833;2379;Verkko- ja radiopäätoimittaja, MTV Uutiset. Executive Editor, Head of Online and Radio News at MTV News. Diver, traveller.;Helsinki, Finland;http://t.co/SlI0e16SjB;2008-03-04 18:26;https://twitter.com/kuistiala
JussiPullinen;Jussi Pullinen;Sanoma;HS;2;http://pbs.twimg.com/profile_images/65229732/omakuva_muuttoap_fbrajaus_normal.jpg;37;33;221,087;0,008;1,596;0,437;0,522;2058;7790;13770;1025;Journalist in Helsinki, Finland. Currently editor at @nytliite at Helsingin Sanomat (@hsfi). Interested in all things real and digital. Toimittaja.;Helsinki, Finland;http://t.co/lsI5fGNr8i;2008-11-23 10:53;https://twitter.com/JussiPullinen
TimoKamarainen;Timo Kämäräinen;Yle;Yle;2;http://pbs.twimg.com/profile_images/1515929644/Twitterprofiili_normal.JPG;23;35;30,260;0,008;1,154;0,604;0,657;1642;1544;1922;33;"Managing Editor at Yle News, Yle. 
Toimituspäällikkö, Yle Uutiset, Yle.";Helsinki;http://t.co/ATv8btKSNn;2009-01-04 09:41;https://twitter.com/TimoKamarainen
MVirtanen;Matti Virtanen;Yle;Yle;2;http://pbs.twimg.com/profile_images/1217338647/Kuva898_normal.jpg;16;33;22,604;0,007;1,094;0,606;0,485;1247;694;772;536;Journalist at YLE. Planning to start serious business before retiring.;Helsinki;;2009-02-21 08:30;https://twitter.com/MVirtanen
HeikkiRotko;Heikki Rotko;Mtv3;Mtv3;2;http://pbs.twimg.com/profile_images/3404424190/c406c8f8a2a5c9a11e34f726d0f2f4db_normal.jpeg;31;25;29,667;0,008;1,152;0,599;0,600;402;1908;186;26;CEO / toimitusjohtaja, MTV MEDIA, @Maikkari. Sports freak, both personally and professionally.;Finland;http://t.co/Dj4hOOfbcL;2009-03-22 08:27;https://twitter.com/HeikkiRotko
JanneMa;Janne Mällinen;Yle;Yle;2;http://pbs.twimg.com/profile_images/485076404984619008/Wu9i_zls_normal.jpeg;14;31;15,985;0,007;1,030;0,642;0,452;1720;1548;2320;328;"Kulttuuritoimituksen päällikkö @YLEuutiset.
Managing editor, arts and culture, YLE News.";Helsinki;http://t.co/oUdKQmTO7Q;2009-04-16 12:41;https://twitter.com/JanneMa
attesakari;Atte Jääskeläinen;Yle;Yle;2;http://pbs.twimg.com/profile_images/563210968/Atte_rajattu_normal.JPG;53;19;96,090;0,009;1,688;0,469;0,358;190;4298;532;28;Director of News, Sport and Current Affairs at Finnish Broadcasting Company Yle.;Helsinki;http://t.co/TFeQZNnuR8;2009-04-29 17:24;https://twitter.com/attesakari
ErkkiSummanen;Erkki Summanen;Keskisuomalainen;Keskisuomalainen;2;http://pbs.twimg.com/profile_images/496958057532772353/Nu8dm5uU_normal.jpeg;10;15;15,026;0,006;0,630;0,500;0,667;430;389;933;348;The Newspaper Smith at Keskisuomalainen Oyj;Kuopio/Jyväskylä;http://t.co/1THVJ0o8xk;2009-05-03 16:13;https://twitter.com/ErkkiSummanen
Twitelina;Elina Salo;Mediatalo ESA;Etelä-Suomen Sanomat;1;http://pbs.twimg.com/profile_images/3631448592/268adf04800fc5d46b4dd1a4fddc73ba_normal.jpeg;16;31;43,729;0,007;1,082;0,561;0,516;1314;1002;2392;711;"Etelä-Suomen Sanomien toimituspäällikkö. Twiitit ovat omiani. Vilkaise myös gluteenitonta blogiani 
http://t.co/NP0lAyu0Ag";;;2009-06-04 13:02;https://twitter.com/Twitelina
vpk63;Vesa-Pekka Kangaskorpi;Keskisuomalainen;Keskisuomalainen;2;http://pbs.twimg.com/profile_images/480965047850512386/uwiqakTF_normal.jpeg;16;26;30,971;0,007;0,960;0,587;0,556;201;346;307;77;Keskisuomalainen konsernin toimitusjohtaja ja 2014 lukien Sanomalehtien Liiton puheenjohtaja - näkemykset henkilökohtaisia;;;2009-06-06 08:41;https://twitter.com/vpk63
reijoruokanen;Reijo Ruokanen;Talentum;Talouselämä;2;http://pbs.twimg.com/profile_images/378800000835999355/e6560b5c4216dfc65185a7b7fafb4eec_normal.png;48;17;71,766;0,008;1,545;0,507;0,354;145;4477;1657;49;Editor-in-chief of Talouselämä, the biggest business weekly in the Nordic countries. Tweets mostly in Finnish about everything and of course, about the blues.;Helsinki, Finland;http://t.co/ZUXg9cj08x;2009-06-27 08:09;https://twitter.com/reijoruokanen
tjrinne;Timo Rinne;Sanoma;Ilta-Sanomat;2;http://pbs.twimg.com/profile_images/1255593146/Timo_Rinne_I2412_cut_normal.jpg;9;18;3,976;0,007;0,665;0,654;0,500;285;264;274;14;Director for Online services at Ilta-Sanomat;Espoo;;2009-06-27 16:01;https://twitter.com/tjrinne
