Source;Target;Reciprocated?;ID;Label
JLahteenmaa;MiraMkel2;No;3;Followed
JLahteenmaa;markojunkkari;No;4;Followed
Twitelina;PetRuot;Yes;5;Followed
PetRuot;markkuhuusko;No;6;Followed
PetRuot;markojunkkari;No;7;Followed
PetRuot;AppelsinUlla;No;8;Followed
PetRuot;KaiusNiemi;No;9;Followed
PetRuot;PerttuKauppinen;No;10;Followed
PetRuot;JussiPullinen;No;11;Followed
PetRuot;Twitelina;Yes;12;Followed
TimoKamarainen;Hannele_V;Yes;13;Followed
MVirtanen;Hannele_V;Yes;14;Followed
JanneMa;Hannele_V;Yes;15;Followed
JussiEronen;Hannele_V;Yes;16;Followed
jukka_niva;Hannele_V;No;17;Followed
Hannele_V;attesakari;No;18;Followed
Hannele_V;MVirtanen;Yes;19;Followed
Hannele_V;PekkaMervola;No;20;Followed
Hannele_V;jarzuli;No;21;Followed
Hannele_V;RVenalainen;No;22;Followed
Hannele_V;TimoKamarainen;Yes;23;Followed
Hannele_V;KaiusNiemi;Yes;24;Followed
Hannele_V;JanneMa;Yes;25;Followed
Hannele_V;JussiEronen;Yes;26;Followed
Hannele_V;markojunkkari;No;27;Followed
Hannele_V;TimoHaapala;No;28;Followed
Hannele_V;merjaya;No;29;Followed
Hannele_V;Petri2020;Yes;30;Followed
KaiusNiemi;Hannele_V;Yes;31;Followed
Petri2020;Hannele_V;Yes;32;Followed
EYlajarvi;Hannele_V;No;33;Followed
afBjorkesten;lenaskogberg;Yes;34;Followed
RiittaMonto;lenaskogberg;Yes;35;Followed
RVenalainen;lenaskogberg;Yes;36;Followed
lenaskogberg;afBjorkesten;Yes;37;Followed
lenaskogberg;CamillaBerggre2;Yes;38;Followed
lenaskogberg;merjaya;No;39;Followed
lenaskogberg;markojunkkari;No;40;Followed
lenaskogberg;AppelsinUlla;No;41;Followed
lenaskogberg;RVenalainen;Yes;42;Followed
lenaskogberg;RiittaMonto;Yes;43;Followed
lenaskogberg;attesakari;No;44;Followed
lenaskogberg;KaiusNiemi;No;45;Followed
lenaskogberg;TimoHaapala;No;46;Followed
lenaskogberg;EYlajarvi;No;47;Followed
CamillaBerggre2;lenaskogberg;Yes;48;Followed
afBjorkesten;CamillaBerggre2;Yes;49;Followed
RiittaMonto;CamillaBerggre2;No;50;Followed
CamillaBerggre2;afBjorkesten;Yes;51;Followed
ErkkiSummanen;InkeriPasanen;Yes;52;Followed
afBjorkesten;InkeriPasanen;No;53;Followed
PekkaMervola;InkeriPasanen;Yes;54;Followed
InkeriPasanen;PekkaMervola;Yes;55;Followed
InkeriPasanen;ErkkiSummanen;Yes;56;Followed
NadiaRebekka;heguli2;No;57;Followed
JennyJnnri;KaiusNiemi;No;58;Followed
JennyJnnri;RVenalainen;No;59;Followed
VallinTapio;KaiusNiemi;No;60;Followed
VallinTapio;AppelsinUlla;No;61;Followed
VallinTapio;TimoHaapala;No;62;Followed
VallinTapio;Ruokanen;No;63;Followed
VallinTapio;arnoahosniemi;No;64;Followed
vpk63;KeijoLehto;Yes;65;Followed
KeijoLehto;PekkaMervola;No;66;Followed
KeijoLehto;EYlajarvi;No;67;Followed
KeijoLehto;MikaPettersson;No;68;Followed
KeijoLehto;vpk63;Yes;69;Followed
anteromukka;LauriMalkavaara;No;70;Followed
LauriMalkavaara;markojunkkari;Yes;71;Followed
LauriMalkavaara;JussiPullinen;No;72;Followed
LauriMalkavaara;HeikkiRotko;No;73;Followed
markojunkkari;LauriMalkavaara;Yes;74;Followed
Twitelina;PasiKoivumaa;No;75;Followed
vpk63;PasiKoivumaa;No;76;Followed
PasiKoivumaa;PekkaMervola;No;77;Followed
opbehm;PasiKoivumaa;No;78;Followed
markojunkkari;PasiKoivumaa;No;79;Followed
JussiPullinen;jarzuli;No;80;Followed
MVirtanen;jarzuli;No;81;Followed
JussiEronen;jarzuli;No;82;Followed
karvonenko;jarzuli;No;83;Followed
KaiusNiemi;jarzuli;No;84;Followed
Ruokanen;jarzuli;No;85;Followed
jaakkolyytinen;jarzuli;No;86;Followed
anteromukka;jarzuli;No;87;Followed
PerttuKauppinen;jarzuli;No;88;Followed
RVenalainen;jarzuli;No;89;Followed
minttumikkonen;jarzuli;No;90;Followed
markojunkkari;jarzuli;No;91;Followed
iinartima;jarzuli;No;92;Followed
M_Pirttijoki;JoukoJokinen;No;93;Followed
MikaPettersson;JoukoJokinen;Yes;94;Followed
minttumikkonen;JoukoJokinen;No;95;Followed
JoukoJokinen;anteromukka;No;96;Followed
JoukoJokinen;MikaPettersson;Yes;97;Followed
opbehm;JoukoJokinen;No;98;Followed
markojunkkari;JoukoJokinen;No;99;Followed
JuutilainenKari;JoukoJokinen;No;100;Followed
MVirtanen;anttijkokkonen;No;101;Followed
attesakari;anttijkokkonen;Yes;102;Followed
anttijkokkonen;attesakari;Yes;103;Followed
anttijkokkonen;RVenalainen;No;104;Followed
anttijkokkonen;KaiusNiemi;Yes;105;Followed
anttijkokkonen;JussiPullinen;No;106;Followed
anttijkokkonen;reijoruokanen;No;107;Followed
anttijkokkonen;TimoHaapala;Yes;108;Followed
anttijkokkonen;PekkaMervola;Yes;109;Followed
anttijkokkonen;markojunkkari;Yes;110;Followed
anttijkokkonen;jaakkolyytinen;No;111;Followed
anttijkokkonen;MikaPettersson;Yes;112;Followed
anttijkokkonen;merjaya;No;113;Followed
anttijkokkonen;JuutilainenKari;Yes;114;Followed
anttijkokkonen;arnoahosniemi;Yes;115;Followed
anttijkokkonen;M_Pirttijoki;Yes;116;Followed
anttijkokkonen;EYlajarvi;No;117;Followed
anttijkokkonen;Petri2020;Yes;118;Followed
anttijkokkonen;TSadeoja;No;119;Followed
anttijkokkonen;anteromukka;No;120;Followed
anttijkokkonen;markkuhuusko;No;121;Followed
anttijkokkonen;opbehm;Yes;122;Followed
anttijkokkonen;PerttuKauppinen;No;123;Followed
anttijkokkonen;Ruokanen;Yes;124;Followed
anttijkokkonen;IlkkaAhtiainen;Yes;125;Followed
anttijkokkonen;jrista;Yes;126;Followed
anttijkokkonen;TSViljanmaa;Yes;127;Followed
anttijkokkonen;ktelanne;No;128;Followed
anttijkokkonen;KemppainenJouni;No;129;Followed
anttijkokkonen;MarjaKirsi;No;130;Followed
KaiusNiemi;anttijkokkonen;Yes;131;Followed
PekkaMervola;anttijkokkonen;Yes;132;Followed
Ruokanen;anttijkokkonen;Yes;133;Followed
TSViljanmaa;anttijkokkonen;Yes;134;Followed
Petri2020;anttijkokkonen;Yes;135;Followed
arnoahosniemi;anttijkokkonen;Yes;136;Followed
jrista;anttijkokkonen;Yes;137;Followed
M_Pirttijoki;anttijkokkonen;Yes;138;Followed
TimoHaapala;anttijkokkonen;Yes;139;Followed
MikaPettersson;anttijkokkonen;Yes;140;Followed
IlkkaAhtiainen;anttijkokkonen;Yes;141;Followed
opbehm;anttijkokkonen;Yes;142;Followed
markojunkkari;anttijkokkonen;Yes;143;Followed
JuutilainenKari;anttijkokkonen;Yes;144;Followed
ErkkiSummanen;vpk63;Yes;145;Followed
ErkkiSummanen;PekkaMervola;Yes;146;Followed
ErkkiSummanen;EYlajarvi;Yes;147;Followed
ErkkiSummanen;JuutilainenKari;Yes;148;Followed
ErkkiSummanen;AppelsinUlla;No;149;Followed
ErkkiSummanen;PekkaSoini;No;150;Followed
ErkkiSummanen;EdithAndersson1;Yes;151;Followed
ErkkiSummanen;RiittaMonto;Yes;152;Followed
ErkkiSummanen;ktelanne;No;153;Followed
ErkkiSummanen;Aarne_Aktan;No;154;Followed
vpk63;ErkkiSummanen;Yes;155;Followed
PekkaMervola;ErkkiSummanen;Yes;156;Followed
RiittaMonto;ErkkiSummanen;Yes;157;Followed
EYlajarvi;ErkkiSummanen;Yes;158;Followed
EdithAndersson1;ErkkiSummanen;Yes;159;Followed
JuutilainenKari;ErkkiSummanen;Yes;160;Followed
Twitelina;TSViljanmaa;Yes;161;Followed
TSViljanmaa;markojunkkari;Yes;162;Followed
TSViljanmaa;AppelsinUlla;No;163;Followed
TSViljanmaa;TimoHaapala;Yes;164;Followed
TSViljanmaa;reijoruokanen;No;165;Followed
TSViljanmaa;RVenalainen;No;166;Followed
TSViljanmaa;arnoahosniemi;Yes;167;Followed
TSViljanmaa;KaiusNiemi;No;168;Followed
TSViljanmaa;EYlajarvi;Yes;169;Followed
TSViljanmaa;Twitelina;Yes;170;Followed
TSViljanmaa;MikaPettersson;Yes;171;Followed
TSViljanmaa;EdithAndersson1;No;172;Followed
TSViljanmaa;Ruokanen;No;173;Followed
TSViljanmaa;JuutilainenKari;Yes;174;Followed
TSViljanmaa;IlkkaAhtiainen;Yes;175;Followed
