Id;Label;Corporation;Media Brand;Gender;Image File;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Followed;Followers;Tweets;Favorites;Description;Location;Web;Joined Twitter Date (UTC);Custom Menu Item Action
kuistiala;Anu Kuistiala;Mtv3;Mtv3;1;http://pbs.twimg.com/profile_images/378800000198442342/cc9021f0633a0863de3095c19c91beb5_normal.jpeg;40;26;56,189;0,008;1,511;0,516;0,571;3;;553;2270;4834;1837;Verkko- ja radiopäätoimittaja, MTV Uutiset. Executive Editor, Head of Online and Radio News at MTV News. Diver, traveller.;Helsinki, Finland;http://t.co/SlI0e16SjB;2008-03-04 18:26;https://twitter.com/kuistiala
JussiPullinen;Jussi Pullinen;Sanoma;HS;2;http://pbs.twimg.com/profile_images/65229732/omakuva_muuttoap_fbrajaus_normal.jpg;34;28;245,866;0,008;1,697;0,396;0,442;4;;1898;6816;12200;765;Journalist in Helsinki, Finland. Currently editor at @nytliite at Helsingin Sanomat (@hsfi). Interested in all things real and digital. Toimittaja.;Helsinki, Finland;http://t.co/lsI5fGNr8i;2008-11-23 10:53;https://twitter.com/JussiPullinen
TimoKamarainen;Timo Kämäräinen;Yle;Yle;2;http://pbs.twimg.com/profile_images/1515929644/Twitterprofiili_normal.JPG;20;30;18,603;0,007;1,112;0,601;0,667;5;;1407;1283;1580;7;"Managing Editor at Yle News / Yle, Finnish Broadcasting Company. 
Toimituspäällikkö, Yle Uutiset, Yle. All opinions are my own, näkemykset ovat ihan omiani.";Helsinki;;2009-01-04 09:41;https://twitter.com/TimoKamarainen
MVirtanen;Matti Virtanen;Yle;Yle;2;http://pbs.twimg.com/profile_images/1217338647/Kuva898_normal.jpg;11;23;22,897;0,007;0,902;0,589;0,478;6;;1025;494;582;259;Journalist at YLE. Planning to start serious business before retiring.;Helsinki;;2009-02-21 08:30;https://twitter.com/MVirtanen
HeikkiRotko;Heikki Rotko;Mtv3;Mtv3;2;http://pbs.twimg.com/profile_images/3404424190/c406c8f8a2a5c9a11e34f726d0f2f4db_normal.jpeg;28;23;39,763;0,007;1,193;0,590;0,594;7;;349;1574;137;16;CEO / toimitusjohtaja, MTV MEDIA, @Maikkari. Sports freak, both personally and professionally.;Finland;http://t.co/Dj4hOOfbcL;2009-03-22 08:27;https://twitter.com/HeikkiRotko
JanneMa;Janne Mällinen;Yle;Yle;2;http://pbs.twimg.com/profile_images/2886271616/a66bcc477e7550df9d47d6f6aefa7fed_normal.jpeg;14;28;32,534;0,007;1,094;0,537;0,448;8;;1391;1147;1436;96;Head of culture@YLE News, Finnish Broadcasting Company;Helsinki;http://t.co/2t0xPXwZh2;2009-04-16 12:41;https://twitter.com/JanneMa
attesakari;Atte Jääskeläinen;Yle;Yle;2;http://pbs.twimg.com/profile_images/563210968/Atte_rajattu_normal.JPG;53;17;164,713;0,009;1,907;0,411;0,321;9;;174;3596;469;23;Director of News, Sport and Current Affairs at Finnish Broadcasting Company Yle.;Helsinki;http://t.co/TFeQZNnuR8;2009-04-29 17:24;https://twitter.com/attesakari
ErkkiSummanen;Erkki Summanen;Keskisuomalainen;Keskisuomalainen;2;http://pbs.twimg.com/profile_images/264281026/Summanen_Erkki01_5x7_normal.jpg;7;11;19,941;0,006;0,575;0,409;0,636;10;;275;234;429;70;The Newspaper Smith at Keskisuomalainen Oyj;Kuopio/Jyväskylä;;2009-05-03 16:13;https://twitter.com/ErkkiSummanen
Twitelina;Elina Salo;Mediatalo ESA;Etelä-Suomen Sanomat;1;http://pbs.twimg.com/profile_images/3631448592/268adf04800fc5d46b4dd1a4fddc73ba_normal.jpeg;14;27;40,600;0,007;1,062;0,566;0,519;11;;1060;730;1520;385;"Etelä-Suomen Sanomien toimituspäällikkö. Twiitit ovat omiani. Vilkaise myös gluteenitonta blogiani 
http://t.co/NP0lAyu0Ag";;;2009-06-04 13:02;https://twitter.com/Twitelina
vpk63;Vesa-Pekka Kangaskorpi;Keskisuomalainen;Keskisuomalainen;2;http://pbs.twimg.com/profile_images/2592267889/image_normal.jpg;11;20;34,921;0,007;0,858;0,516;0,550;12;;162;228;169;26;Keskisuomalainen konsernin toimitusjohtaja ja 2014 lukien Sanomalehtien Liiton puheenjohtaja - näkemykset henkilökohtaisia;;;2009-06-06 08:41;https://twitter.com/vpk63
